"CCAA","Fa","Fr"
"Andalucía","768","19.5"
"Aragón","127","3.2"
"Asturias (Principado de)","91","2.3"
"Balears (Illes)","100","2.6"
"Canarias","201","5.1"
"Cantabria","53","1.4"
"Castilla-La Mancha","211","5.4"
"Castilla y León","203","5.2"
"Cataluña","601","15.3"
"Comunitat Valenciana","412","10.5"
"Extremadura","106","2.7"
"Galicia","235","6"
"Madrid (Comunidad de)","443","11.3"
"Murcia (Región de)","140","3.6"
"Navarra (Comunidad Foral de)","52","1.3"
"País Vasco","151","3.8"
"Rioja (La)","21","0.5"
"Ceuta (Ciudad Autónoma de)","7","0.2"
"Melilla (Ciudad Autónoma de)","4","0.1"